src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192.168.0.10,239.255.255.250,52323,1900,f8:da:0c:07:2c:59,01:00:5e:7f:ff:fa,17,20/04/2024 17:41,409744.0243,14626.20476,31.7271253,31.7271253,0,13,0,5993,0,491,417,461,27.00142446,0,0,0,0,491,417,461,27.00142446,729.0769231,104,0,8,13,34145.33536,102140.9035,0,46237.86247,409744.0243,102140.9035,0,34145.33536,46237.86247,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,461,0,0,0,0,0,0,0,0,0,0,5447,13,0,0,13293.6655,0,461,0,0,13,0,5993,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192.168.0.10,239.255.255.250,24985,1900,f8:da:0c:07:2c:59,01:00:5e:7f:ff:fa,17,20/04/2024 17:41,509173.1548,5267.363321,15.71174742,15.71174742,0,8,0,2682,0,359,311,335.25,20.20365066,0,0,0,0,359,311,335.25,20.20365066,408.1875,64,0,8,8,72739.02212,102710.9623,0,46016.60696,509173.1548,102710.9623,0,72739.02212,46016.60696,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,335.25,0,0,0,0,0,0,0,0,0,0,2346,8,0,0,4607.46993,0,335.25,0,0,8,0,2682,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192.168.0.15,62.254.36.99,54821,443,a4:42:3b:e6:d3:13,48:d3:43:04:89:00,6,20/04/2024 17:41,17441.03432,14276.67623,229.3441964,114.6720982,114.6720982,2,2,108,141,54,54,54,0,85,56,70.5,14.5,85,54,62.25,13.16007219,173.1875,40,40,20,0,5813.678106,16823.05336,56.98204041,7787.52275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,62.25,512,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,70.5,0,2,2,108,141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192.168.0.15,104.26.10.240,54838,443,a4:42:3b:e6:d3:13,48:d3:43:04:89:00,6,20/04/2024 17:41,14714.95628,8222.92623,135.916136,67.95806802,67.95806802,1,1,55,66,55,55,55,0,66,66,66,0,66,55,60.5,5.5,30.25,20,20,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,60.5,514,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,66,0,1,1,55,66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192.168.0.15,172.217.169.35,54854,443,a4:42:3b:e6:d3:13,48:d3:43:04:89:00,6,20/04/2024 17:41,16377.92587,7387.992896,122.1155851,61.05779253,61.05779253,1,1,55,66,55,55,55,0,66,66,66,0,66,55,60.5,5.5,30.25,20,20,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,60.5,1025,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,66,0,1,1,55,66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192.168.0.15,142.250.180.3,54860,443,a4:42:3b:e6:d3:13,48:d3:43:04:89:00,6,20/04/2024 17:41,22422.79053,5396.295339,89.19496427,44.59748214,44.59748214,1,1,55,66,55,55,55,0,66,66,66,0,66,55,60.5,5.5,30.25,20,20,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,60.5,511,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,66,0,1,1,55,66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192.168.0.15,194.168.4.100,54944,53,a4:42:3b:e6:d3:13,48:d3:43:04:89:00,6,20/04/2024 17:41,42644.0239,16602.56081,257.9493912,140.6996679,117.2497233,6,5,370,338,86,54,61.66666667,11.68569876,104,56,67.6,18.60752536,104,54,64.36363636,15.51112637,240.5950413,120,100,20,2,4264.40239,16313.07602,0,6263.44188,42644.0239,16384.12476,47.9221344,8528.804779,7037.96259,30594.11049,16505.00298,0,7648.527622,7226.443012,0,0,0,0,1,0,0,0,0,0,0,0.833333333,64.36363636,64240,15,0,0,0,0,0,0,0,0,0,0,56,4,0,3185.043379,61.66666667,67.6,0,6,5,370,338
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192.168.0.15,194.168.4.100,54945,53,a4:42:3b:e6:d3:13,48:d3:43:04:89:00,6,20/04/2024 17:41,47538.99574,15923.76928,231.3889856,126.2121739,105.1768116,6,5,370,387,86,54,61.66666667,11.68569876,153,56,77.4,37.99789468,153,54,68.81818182,28.14513742,792.1487603,120,100,20,2,4753.899574,17564.0583,40.05432129,7059.523419,47538.99574,17639.87541,40.05432129,9507.799149,7863.248866,29899.83559,16866.92238,422.000885,7474.958897,7163.237528,0,0,0,0,1,0,0,0,0,0,0,0.833333333,68.81818182,64240,15,0,0,0,0,0,0,0,0,0,0,105,4,0,5861.708992,61.66666667,77.4,0,6,5,370,387
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192.168.0.15,173.222.13.119,54474,443,a4:42:3b:e6:d3:13,48:d3:43:04:89:00,6,20/04/2024 17:41,26404.14238,9165.228566,151.4913813,75.74569063,75.74569063,2,2,108,134,54,54,54,0,78,56,67,11,78,54,60.5,10.13656747,102.75,40,40,20,0,8801.380793,26343.10722,0,12403.89874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,60.5,513,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,67,0,2,2,108,134
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192.168.0.15,54.156.147.149,54827,443,a4:42:3b:e6:d3:13,48:d3:43:04:89:00,6,20/04/2024 17:41,93686.81908,1750.513056,32.0215803,21.3477202,10.6738601,2,1,108,56,54,54,54,0,56,56,56,0,56,54,54.66666667,0.942809042,0.888888889,40,20,20,0,46843.40954,93648.91052,37.90855408,46805.50098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,54.66666667,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,56,0,2,1,108,56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192.168.0.15,54.224.243.239,54841,443,a4:42:3b:e6:d3:13,48:d3:43:04:89:00,6,20/04/2024 17:41,109612.9417,1496.173694,27.369031,18.24602066,9.123010332,2,1,108,56,54,54,54,0,56,56,56,0,56,54,54.66666667,0.942809042,0.888888889,40,20,20,0,54806.47087,109587.9078,25.03395081,54781.43692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,54.66666667,63952,49640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,56,0,2,1,108,56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192.168.0.15,172.217.169.35,54865,443,a4:42:3b:e6:d3:13,48:d3:43:04:89:00,6,20/04/2024 17:41,16050.10033,7538.893685,124.609813,62.30490649,62.30490649,1,1,55,66,55,55,55,0,66,66,66,0,66,55,60.5,5.5,30.25,20,20,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,60.5,1025,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,66,0,1,1,55,66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192.168.0.15,142.250.187.234,54869,443,a4:42:3b:e6:d3:13,48:d3:43:04:89:00,6,20/04/2024 17:41,13118.02864,9223.946929,152.4619327,76.23096636,76.23096636,1,1,55,66,55,55,55,0,66,66,66,0,66,55,60.5,5.5,30.25,20,20,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,60.5,511,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,66,0,1,1,55,66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192.168.0.15,142.250.187.234,54848,443,a4:42:3b:e6:d3:13,48:d3:43:04:89:00,6,20/04/2024 17:41,14714.00261,8223.459191,135.9249453,67.96247266,67.96247266,1,1,55,66,55,55,55,0,66,66,66,0,66,55,60.5,5.5,30.25,20,20,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,60.5,512,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,66,0,1,1,55,66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192.168.0.15,62.254.36.73,54947,443,a4:42:3b:e6:d3:13,48:d3:43:04:89:00,6,20/04/2024 17:41,92429.16107,69296.31218,292.1156017,119.0100599,173.1055417,11,16,1181,5224,257,54,107.3636364,67.12169779,1514,56,326.5,489.7551684,1514,54,237.2222222,394.4215017,155568.321,220,320,20,5,3554.967734,17532.82547,0,6340.751823,91729.16412,22487.8788,56.98204041,9172.916412,8720.418372,75798.03467,19932.98531,0,5053.202311,7582.604595,0,0,0,0,1,0,0,0,0,0,0,1.454545455,237.2222222,64240,501,0,0,0,0,0,0,0,0,0,0,2022.5,5,0,726189.2599,107.3636364,326.5,0,11,16,1181,5224
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192.168.0.15,140.82.113.25,54894,443,a4:42:3b:e6:d3:13,48:d3:43:04:89:00,6,20/04/2024 17:41,160334.1103,13016.56894,62.36976015,24.94790406,37.42185609,4,6,1634,453,1442,54,408.5,596.8171831,127,56,75.5,25.23060311,1442,54,208.7,411.6692969,169471.61,80,120,20,2,17814.90114,55133.10432,0,24244.63219,106578.1116,55133.10432,243.9022064,35526.03722,24999.8259,54047.1077,50136.80458,0,10809.42154,19681.99406,0,0,0,0,1,0,0,0,0,0,0,1.5,208.7,515,79,0,0,0,0,0,0,0,0,0,0,129,6,0,2386.806723,408.5,75.5,0,4,6,1634,453
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192.168.0.15,194.168.4.100,54952,53,a4:42:3b:e6:d3:13,48:d3:43:04:89:00,6,20/04/2024 17:41,49242.01965,14987.20006,223.3864508,121.847155,101.5392958,6,5,377,361,93,54,62.83333333,14.14704524,127,56,72.2,27.67236889,127,54,67.09090909,21.88587982,478.9917355,120,100,20,2,4924.201965,16743.18314,44.82269287,6738.911151,49242.01965,20325.18387,44.82269287,9848.403931,8291.688799,35432.1003,16944.17,1527.786255,8858.025074,7291.243193,0,0,0,0,1,0,0,0,0,0,0,0.833333333,67.09090909,64240,15,0,0,0,0,0,0,0,0,0,0,79,4,0,4273.058083,62.83333333,72.2,0,6,5,377,361
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192.168.0.15,194.168.4.100,54953,53,a4:42:3b:e6:d3:13,48:d3:43:04:89:00,6,20/04/2024 17:41,47285.79521,16643.47605,232.6280007,126.8880004,105.7400003,6,5,377,410,93,54,62.83333333,14.14704524,176,56,82,47.15930449,176,54,71.54545455,34.80168135,1211.157025,120,100,20,2,4728.579521,17458.91571,16.92771912,6673.885941,47285.79521,20118.9518,16.92771912,9457.159042,8038.783493,33718.10913,17724.99084,746.9654083,8429.527283,7383.013911,0,0,0,0,1,0,0,0,0,0,0,0.833333333,71.54545455,64240,15,0,0,0,0,0,0,0,0,0,0,128,4,0,8003.442338,62.83333333,82,0,6,5,377,410
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192.168.0.15,194.168.4.100,54957,53,a4:42:3b:e6:d3:13,48:d3:43:04:89:00,6,20/04/2024 17:41,51559.92508,14992.26383,213.3439873,116.3694476,96.97453967,6,5,377,396,93,54,62.83333333,14.14704524,162,56,79.2,41.58076478,162,54,70.27272727,31.00759704,961.4710744,120,100,20,2,5155.992508,19464.96964,30.99441528,7630.959104,51559.92508,19533.8726,56.98204041,10311.98502,8531.350522,32063.96103,16575.09804,181.9133759,8015.990257,7511.340466,0,0,0,0,1,0,0,0,0,0,0,0.833333333,70.27272727,64240,15,0,0,0,0,0,0,0,0,0,0,114,4,0,7360.127084,62.83333333,79.2,0,6,5,377,396
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192.168.0.15,194.168.4.100,54958,53,a4:42:3b:e6:d3:13,48:d3:43:04:89:00,6,20/04/2024 17:41,51140.06996,16093.05581,215.0955211,117.3248297,97.77069143,6,5,377,446,93,54,62.83333333,14.14704524,212,56,89.2,61.52202858,212,54,74.81818182,44.74334523,2001.966942,120,100,20,2,5114.006996,18041.13388,0,7521.618657,51140.06996,18103.12271,50.06790161,10228.01399,8317.274203,35189.15176,18225.19302,0,8797.287941,8366.165472,0,0,0,0,1,0,0,0,0,0,0,0.833333333,74.81818182,64240,15,0,0,0,0,0,0,0,0,0,0,164,4,0,8553.205043,62.83333333,89.2,0,6,5,377,446
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192.168.0.15,74.125.133.84,58923,443,a4:42:3b:e6:d3:13,48:d3:43:04:89:00,17,20/04/2024 17:41,129586.935,123345.7678,200.6375102,108.0355824,92.60192778,14,12,8218,7766,1292,73,587,571.5566464,1292,65,647.1666667,539.040789,1292,65,614.7692308,557.5926489,310909.5621,112,96,8,14,5183.477402,44857.02515,0,12174.67122,84729.9099,40307.99866,32.90176392,6517.685377,14415.88764,91305.01747,45216.08353,0,8300.456134,14328.79864,0,0,0,0,1,0,0,0,0,0,0,0.857142857,614.7692308,0,0,0,0,0,0,0,0,0,0,7354,8,5027,6,9180033.219,2002732.353,587,647.1666667,0,14,12,8218,7766
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192.168.0.15,185.199.110.133,54885,443,a4:42:3b:e6:d3:13,48:d3:43:04:89:00,6,20/04/2024 17:41,19727.94533,6133.431434,101.379032,50.68951598,50.68951598,1,1,55,66,55,55,55,0,66,66,66,0,66,55,60.5,5.5,30.25,20,20,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,60.5,512,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,66,0,1,1,55,66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192.168.0.15,185.199.109.154,54882,443,a4:42:3b:e6:d3:13,48:d3:43:04:89:00,6,20/04/2024 17:41,18486.02295,6545.485761,108.1898473,54.09492365,54.09492365,1,1,55,66,55,55,55,0,66,66,66,0,66,55,60.5,5.5,30.25,20,20,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,60.5,2050,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,66,0,1,1,55,66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192.168.0.15,142.250.187.234,54900,443,a4:42:3b:e6:d3:13,48:d3:43:04:89:00,6,20/04/2024 17:41,19485.95047,6209.602153,102.6380521,51.31902606,51.31902606,1,1,55,66,55,55,55,0,66,66,66,0,66,55,60.5,5.5,30.25,20,20,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,60.5,511,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,66,0,1,1,55,66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192.168.0.15,185.199.109.154,54891,443,a4:42:3b:e6:d3:13,48:d3:43:04:89:00,6,20/04/2024 17:41,18294.09599,6614.155739,109.3248882,54.66244412,54.66244412,1,1,55,66,55,55,55,0,66,66,66,0,66,55,60.5,5.5,30.25,20,20,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,60.5,509,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,66,0,1,1,55,66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
