src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
51.132.193.104,192.168.0.15,443,54449,48:d3:43:04:89:00,a4:42:3b:e6:d3:13,6,2024-04-24 00:39:59,115.87142944335938,4781161.349794239,17260.510288065845,8630.255144032923,8630.255144032923,1,1,500,54,500.0,500.0,500.0,0.0,54.0,54.0,54.0,0.0,500,54,277.0,223.0,49729.0,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,277.0,16380,1021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,54.0,0,1,1,500,54
192.168.0.15,20.90.156.32,53806,443,a4:42:3b:e6:d3:13,48:d3:43:04:89:00,6,2024-04-24 00:40:06,61908.00666809082,6121.986805873812,48.4589984633811,32.3059989755874,16.1529994877937,2,1,151,228,97.0,54.0,75.5,21.5,228.0,228.0,228.0,0.0,228,54,126.33333333333333,74.00150148626865,5476.222222222222,40,20,20,1,30954.00333404541,44014.930725097656,17893.075942993164,13060.927391052246,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,126.33333333333333,515,7037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.5,228.0,0,2,1,151,228
192.168.0.15,192.168.0.14,54422,8009,a4:42:3b:e6:d3:13,1c:d6:be:4d:ad:27,6,2024-04-24 00:40:01,10984127.99835205,71.37571595283882,0.9104045402147809,0.45520227010739045,0.45520227010739045,5,5,380,404,164.0,54.0,76.0,44.0,164.0,54.0,80.8,42.62581377522311,164,54,78.4,43.38478996146,1882.2400000000002,100,100,20,1,1220458.6664835613,10001863.0027771,66.99562072753906,3110835.2585228095,10983271.837234497,10003513.813018799,66089.86854553223,2745817.9593086243,4194589.256067139,10982477.188110352,10957692.14630127,438.92860412597656,2745619.297027588,4741252.094462121,0,0,0,0,1,0,0,0,0,0,0,1.0,78.4,508,1506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,80.8,0,5,5,380,404
192.168.0.15,192.168.0.14,53874,8008,a4:42:3b:e6:d3:13,1c:d6:be:4d:ad:27,6,2024-04-24 00:40:25,2330.0647735595703,51929.88683106518,858.3452368771104,429.1726184385552,429.1726184385552,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,66,55,60.5,5.5,30.25,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,60.5,508,1386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,66.0,0,1,1,55,66
192.168.0.15,192.168.0.10,53875,8008,a4:42:3b:e6:d3:13,f8:da:0c:07:2c:59,6,2024-04-24 00:40:27,3756.999969482422,32206.548039091256,532.3396370097728,266.1698185048864,266.1698185048864,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,66,55,60.5,5.5,30.25,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,60.5,508,1386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,66.0,0,1,1,55,66
192.168.0.10,224.0.0.251,5353,5353,f8:da:0c:07:2c:59,01:00:5e:00:00:fb,17,2024-04-24 00:40:23,16285200.834274292,177.15470809105085,0.6754598922015804,0.6754598922015804,0.0,11,0,2885,0,408.0,82.0,262.27272727272725,149.2295918187146,0.0,0.0,0.0,0.0,408,82,262.27272727272725,149.2295918187146,22269.47107438017,88,0,8,11,1628520.0834274292,8911117.07687378,0.0,2824060.6964337537,16285200.834274292,8911117.07687378,0.0,1628520.0834274292,2824060.6964337537,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,262.27272727272725,0,0,0.0,0.0,0.0,0.0,5017772.197723389,3893344.8791503906,4455558.53843689,562213.659286499,598.0,5.0,0.0,0.0,449.7573581558217,0.0,262.27272727272725,0.0,0,11,0,2885,0
192.168.0.14,224.0.0.251,5353,5353,1c:d6:be:4d:ad:27,01:00:5e:00:00:fb,17,2024-04-24 00:40:24,14849822.998046875,186.13016467358133,0.4713860899837443,0.4713860899837443,0.0,7,0,2764,0,455.0,196.0,394.85714285714283,83.2782402919421,0.0,0.0,0.0,0.0,455,196,394.85714285714283,83.2782402919421,6935.265306122447,56,0,8,7,2474970.499674479,8806972.980499268,1131.0577392578125,3342264.4749097456,14849822.998046875,8806972.980499268,1131.0577392578125,2474970.499674479,3342264.4749097456,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,394.85714285714283,0,0,0.0,0.0,0.0,0.0,5016921.9970703125,3790050.983428955,4403486.490249634,613435.5068206787,0.0,0.0,0.0,0.0,0.0,0.0,394.85714285714283,0.0,0,7,0,2764,0
192.168.0.37,224.0.0.251,5353,5353,de:77:9d:87:78:17,01:00:5e:00:00:fb,17,2024-04-24 00:40:37,1946212.0532989502,312.40172362996225,2.055274497565541,2.055274497565541,0.0,4,0,608,0,152.0,152.0,152.0,0.0,0.0,0.0,0.0,0.0,152,152,152.0,0.0,0.0,32,0,8,4,648737.35109965,1024397.1347808838,351.90582275390625,460399.55300265807,1946212.0532989502,1024397.1347808838,351.90582275390625,648737.35109965,460399.55300265807,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,152.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,0,4,0,608,0
192.168.0.89,239.255.255.250,37020,37020,e4:f1:4c:4d:63:03,a4:42:3b:e6:d3:13,17,2024-04-24 00:40:46,0.0,0,0,0,0,1,0,184,0,184.0,184.0,184.0,0.0,0.0,0.0,0.0,0.0,184,184,184.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,184.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,0.0,0,1,0,184,0
192.168.0.89,239.255.255.250,3705,3702,e4:f1:4c:4d:63:03,a4:42:3b:e6:d3:13,17,2024-04-24 00:40:46,0.0,0,0,0,0,2,0,2108,0,1054.0,1054.0,1054.0,0.0,0.0,0.0,0.0,0.0,1054,1054,1054.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,1054.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1054.0,0.0,0,2,0,2108,0
