src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
88.135.61.15,192.168.31.118,26989,28845,9c:9d:7e:8c:15:c3,cc:b0:da:67:8a:37,17,2024-02-20 22:04:58,685.9302520751953,779962.6833507125,2915.7483489746264,1457.8741744873132,1457.8741744873132,1,1,157,378,157.0,157.0,157.0,0.0,378.0,378.0,378.0,0.0,378,157,267.5,110.5,12210.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,267.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,378.0,0,1,1,157,378
91.215.88.69,192.168.31.118,1714,28845,9c:9d:7e:8c:15:c3,cc:b0:da:67:8a:37,17,2024-02-20 22:04:58,1710.8917236328125,290491.79041248607,1168.9810479375697,584.4905239687848,584.4905239687848,1,1,146,351,146.0,146.0,146.0,0.0,351.0,351.0,351.0,0.0,351,146,248.5,102.5,10506.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,248.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,351.0,0,1,1,146,351
207.180.192.205,192.168.31.118,6898,28845,9c:9d:7e:8c:15:c3,cc:b0:da:67:8a:37,17,2024-02-20 22:04:58,168464.89906311035,5840.979370019233,23.743818577313956,11.871909288656978,11.871909288656978,2,2,278,706,139.0,139.0,139.0,0.0,353.0,353.0,353.0,0.0,353,139,246.0,107.0,11449.0,16,16,8,2,56154.96635437012,159370.18394470215,1314.8784637451172,73031.88699815658,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,246.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,353.0,0,2,2,278,706
223.225.168.163,192.168.31.118,60957,28845,9c:9d:7e:8c:15:c3,cc:b0:da:67:8a:37,17,2024-02-20 22:04:58,491.85752868652344,1012488.3141056714,4066.2181289384393,2033.1090644692197,2033.1090644692197,1,1,146,352,146.0,146.0,146.0,0.0,352.0,352.0,352.0,0.0,352,146,249.0,103.0,10609.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,249.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,352.0,0,1,1,146,352
62.171.169.198,192.168.31.118,36374,28845,9c:9d:7e:8c:15:c3,cc:b0:da:67:8a:37,17,2024-02-20 22:04:59,6141.901016235352,85478.4208687551,325.6320795000194,162.8160397500097,162.8160397500097,1,1,155,370,155.0,155.0,155.0,0.0,370.0,370.0,370.0,0.0,370,155,262.5,107.5,11556.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,262.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,370.0,0,1,1,155,370
79.140.25.59,192.168.31.118,18682,28845,9c:9d:7e:8c:15:c3,cc:b0:da:67:8a:37,17,2024-02-20 22:04:59,1065.969467163086,204508.67188548422,1876.2263475732498,938.1131737866249,938.1131737866249,1,1,98,120,98.0,98.0,98.0,0.0,120.0,120.0,120.0,0.0,120,98,109.0,11.0,121.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,109.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,120.0,0,1,1,98,120
178.187.28.231,192.168.31.118,55235,28845,9c:9d:7e:8c:15:c3,cc:b0:da:67:8a:37,17,2024-02-20 22:04:59,43526.88789367676,11533.101131103991,45.94861008407964,22.97430504203982,22.97430504203982,1,1,148,354,148.0,148.0,148.0,0.0,354.0,354.0,354.0,0.0,354,148,251.0,103.0,10609.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,251.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,354.0,0,1,1,148,354
176.117.202.81,192.168.31.118,49001,28845,9c:9d:7e:8c:15:c3,cc:b0:da:67:8a:37,17,2024-02-20 22:05:00,7071.971893310547,119909.97882813026,282.8065538399299,141.40327691996495,141.40327691996495,1,1,174,674,174.0,174.0,174.0,0.0,674.0,674.0,674.0,0.0,674,174,424.0,250.0,62500.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,424.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,674.0,0,1,1,174,674
103.141.135.49,192.168.31.118,50868,28845,9c:9d:7e:8c:15:c3,cc:b0:da:67:8a:37,17,2024-02-20 22:05:00,16506.91032409668,29442.21483353795,121.16137791579403,60.58068895789702,60.58068895789702,1,1,145,341,145.0,145.0,145.0,0.0,341.0,341.0,341.0,0.0,341,145,243.0,98.0,9604.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,243.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,341.0,0,1,1,145,341
110.159.138.68,192.168.31.118,6881,28845,9c:9d:7e:8c:15:c3,cc:b0:da:67:8a:37,17,2024-02-20 22:05:00,468.0156707763672,1027743.3642384106,4273.361181864493,2136.6805909322466,2136.6805909322466,1,1,143,338,143.0,143.0,143.0,0.0,338.0,338.0,338.0,0.0,338,143,240.5,97.5,9506.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,240.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,338.0,0,1,1,143,338
