src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.0.15,192.168.0.10,64328,8008,a4:42:3b:e6:d3:13,f8:da:0c:07:2c:59,6,2024-04-22 00:17:00,6667.137145996094,18148.71921041339,299.97882992418823,149.98941496209412,149.98941496209412,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,66,55,60.5,5.5,30.25,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,60.5,508,1386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,66.0,0,1,1,55,66
192.168.0.15,192.229.202.43,64877,443,a4:42:3b:e6:d3:13,48:d3:43:04:89:00,6,2024-04-22 00:17:00,2791652.9178619385,4145.214444803806,8.23884654601517,3.5821071939196387,4.6567393520955305,10,13,1373,10199,366.0,54.0,137.3,125.82690491305905,1514.0,56.0,784.5384615384615,639.8103824132482,1514,54,503.1304347826087,584.1294008178419,341207.15689981094,200,260,20,3,126893.31444826993,2708498.001098633,0.0,563383.7474547467,2791652.9178619385,2708498.001098633,1086.9503021240234,310183.6575402154,847955.8701594542,67155.12275695801,22665.977478027344,0.0,5596.260229746501,8788.518394840092,0,0,0,0,1,0,0,0,0,0,0,1.3,503.1304347826087,64240,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4692.0,5.0,0.0,2134107.7230385514,137.3,784.5384615384615,0,10,13,1373,10199
192.168.0.15,194.168.4.100,62236,53,a4:42:3b:e6:d3:13,48:d3:43:04:89:00,17,2024-04-22 00:17:05,19318.819046020508,9627.917708474744,103.52599686531983,51.76299843265991,51.76299843265991,1,1,76,110,76.0,76.0,76.0,0.0,110.0,110.0,110.0,0.0,110,76,93.0,17.0,289.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,93.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,110.0,0,1,1,76,110
192.168.0.15,194.168.4.100,55114,53,a4:42:3b:e6:d3:13,48:d3:43:04:89:00,17,2024-04-22 00:17:05,18765.926361083984,11190.494727480625,106.57614026172024,53.28807013086012,53.28807013086012,1,1,76,134,76.0,76.0,76.0,0.0,134.0,134.0,134.0,0.0,134,76,105.0,29.0,841.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,105.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,134.0,0,1,1,76,134
192.168.0.15,34.120.52.64,64333,443,a4:42:3b:e6:d3:13,48:d3:43:04:89:00,6,2024-04-22 00:17:05,141785.1448059082,14670.084111049455,112.84680085422657,49.370475373724126,63.476325480502446,7,9,1221,859,615.0,54.0,174.42857142857142,187.4748418495949,292.0,56.0,95.44444444444444,71.36153821073694,615,54,130.0,140.6289443891264,19776.5,140,180,20,5,9452.342987060547,53089.141845703125,0.0,16720.26001330829,127501.01089477539,69236.99378967285,28.848648071289062,21250.168482462566,28675.973401657197,118499.9942779541,97815.99044799805,0.0,14812.499284744263,31863.662610504507,0,0,0,0,1,0,0,0,0,0,0,1.2857142857142858,130.0,512,489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361.0,7.0,0.0,3641.387982636509,174.42857142857142,95.44444444444444,0,7,9,1221,859
192.168.0.15,194.168.4.100,63393,53,a4:42:3b:e6:d3:13,48:d3:43:04:89:00,17,2024-04-22 00:17:07,15225.887298583984,13595.266794024616,131.35523472487552,65.67761736243776,65.67761736243776,1,1,80,127,80.0,80.0,80.0,0.0,127.0,127.0,127.0,0.0,127,80,103.5,23.5,552.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,103.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,127.0,0,1,1,80,127
192.168.0.15,194.168.4.100,56663,53,a4:42:3b:e6:d3:13,48:d3:43:04:89:00,17,2024-04-22 00:17:07,18817.901611328125,13178.940198662072,106.28177579566187,53.140887897830936,53.140887897830936,1,1,80,168,80.0,80.0,80.0,0.0,168.0,168.0,168.0,0.0,168,80,124.0,44.0,1936.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,124.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,168.0,0,1,1,80,168
192.168.0.15,52.70.162.128,64860,443,a4:42:3b:e6:d3:13,48:d3:43:04:89:00,6,2024-04-22 00:17:07,89933.87222290039,1823.5620900824474,33.35784311126428,22.238562074176187,11.119281037088093,2,1,108,56,54.0,54.0,54.0,0.0,56.0,56.0,56.0,0.0,56,54,54.666666666666664,0.9428090415820634,0.888888888888889,40,20,20,0,44966.936111450195,89866.87660217285,66.99562072753906,44899.940490722656,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,54.666666666666664,511,280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,56.0,0,2,1,108,56
192.168.0.15,142.250.187.243,64880,443,a4:42:3b:e6:d3:13,48:d3:43:04:89:00,6,2024-04-22 00:17:07,257881.87980651855,41406.55407045815,120.21007456304577,50.41067642966435,69.7993981333814,13,18,4284,6394,1880.0,54.0,329.53846153846155,523.8221388373106,1466.0,56.0,355.22222222222223,516.30434129446,1880,54,344.4516129032258,519.624792593698,270009.92507804366,260,360,20,7,8596.062660217285,147112.84637451172,0.0,26677.16587338296,245130.06210327148,165789.12734985352,169.0387725830078,20427.505175272625,44935.909327629466,235552.78778076172,147112.84637451172,0.0,13856.046340044806,34252.10984200103,0,0,0,0,1,0,0,0,0,0,0,1.3846153846153846,344.4516129032258,64240,301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1662.0,4.0,1788.3333333333333,5.0,1348864.7925696594,34567.92622622177,329.53846153846155,355.22222222222223,0,13,18,4284,6394
192.168.0.15,194.168.4.100,61904,53,a4:42:3b:e6:d3:13,48:d3:43:04:89:00,17,2024-04-22 00:17:09,9757.99560546875,19266.251759186864,204.9601250977326,102.4800625488663,102.4800625488663,1,1,86,102,86.0,86.0,86.0,0.0,102.0,102.0,102.0,0.0,102,86,94.0,8.0,64.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,94.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,102.0,0,1,1,86,102
