src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.0.15,194.168.4.100,52068,53,a4:42:3b:e6:d3:13,48:d3:43:04:89:00,17,2024-04-24 22:07:59,13387.918472290039,23155.205242818727,149.38842092141115,74.69421046070558,74.69421046070558,1,1,83,227,83.0,83.0,83.0,0.0,227.0,227.0,227.0,0.0,227,83,155.0,72.0,5184.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,155.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,227.0,0,1,1,83,227
192.168.0.15,62.253.72.89,51225,80,a4:42:3b:e6:d3:13,48:d3:43:04:89:00,6,2024-04-24 22:07:59,46619.89212036133,18618.661702584664,214.50071085927033,107.25035542963516,107.25035542963516,5,5,393,475,165.0,54.0,78.6,43.449280776556016,241.0,56.0,95.0,73.10266752998827,241,54,86.8,60.68904349221529,3683.159999999999,100,100,20,1,5179.9880133734805,15933.036804199219,41.961669921875,6872.7571756072475,30686.85531616211,14938.831329345703,233.17337036132812,7671.713829040527,7046.694461078493,31810.04524230957,15974.998474121094,490.9038543701172,7952.511310577393,7176.351930010515,0,0,0,0,1,0,0,0,0,0,0,1.0,86.8,64240,502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,4.0,0.0,10973.453239165503,78.6,95.0,0,5,5,393,475
192.168.0.14,192.168.0.15,60658,52070,1c:d6:be:4d:ad:27,a4:42:3b:e6:d3:13,17,2024-04-24 22:08:01,0.0,0,0,0,0,1,0,537,0,537.0,537.0,537.0,0.0,0.0,0.0,0.0,0.0,537,537,537.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,537.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.0,0.0,0,1,0,537,0
192.168.0.10,192.168.0.15,42439,52070,f8:da:0c:07:2c:59,a4:42:3b:e6:d3:13,17,2024-04-24 22:08:01,0.0,0,0,0,0,1,0,537,0,537.0,537.0,537.0,0.0,0.0,0.0,0.0,0.0,537,537,537.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,537.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.0,0.0,0,1,0,537,0
192.168.0.14,192.168.0.15,42244,52070,1c:d6:be:4d:ad:27,a4:42:3b:e6:d3:13,17,2024-04-24 22:08:02,0.0,0,0,0,0,1,0,537,0,537.0,537.0,537.0,0.0,0.0,0.0,0.0,0.0,537,537,537.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,537.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.0,0.0,0,1,0,537,0
